System ID,Climate,Month,Description,Fuel,Energisation,Function,a-month,b-month,c-month,d-month,Notes
ESS-3-NOV,3,NOV,Electric storage small,Electricity,Continuous,Main,0,0,0,0.08105,
ESS-3-DEC,3,DEC,Electric storage small,Electricity,Continuous,Main,0,0,0,0.075297,
ESS-4-JAN,4,JAN,Electric storage small,Electricity,Continuous,Main,0,0,0,0.0685,
ESS-4-FEB,4,FEB,Electric storage small,Electricity,Continuous,Main,0,0,0,0.067213,
ESS-4-MAR,4,MAR,Electric storage small,Electricity,Continuous,Main,0,0,0,0.07976,
ESS-4-APR,4,APR,Electric storage small,Electricity,Continuous,Main,0,0,0,0.081207,
ESS-4-MAY,4,MAY,Electric storage small,Electricity,Continuous,Main,0,0,0,0.089133,
ESS-4-JUN,4,JUN,Electric storage small,Electricity,Continuous,Main,0,0,0,0.090702,
ESS-4-JUL,4,JUL,Electric storage small,Electricity,Continuous,Main,0,0,0,0.094094,
ESS-4-AUG,4,AUG,Electric storage small,Electricity,Continuous,Main,0,0,0,0.093308,
ESS-4-SEP,4,SEP,Electric storage small,Electricity,Continuous,Main,0,0,0,0.089879,
ESS-4-OCT,4,OCT,Electric storage small,Electricity,Continuous,Main,0,0,0,0.088624,
ESS-4-NOV,4,NOV,Electric storage small,Electricity,Continuous,Main,0,0,0,0.081401,
ESS-4-DEC,4,DEC,Electric storage small,Electricity,Continuous,Main,0,0,0,0.076177,
ESL-1-JAN,1,JAN,Electric storage large,Electricity,Controlled,Main,0,0,0,0.068464,
ESL-1-FEB,1,FEB,Electric storage large,Electricity,Controlled,Main,0,0,0,0.068555,
ESL-1-MAR,1,MAR,Electric storage large,Electricity,Controlled,Main,0,0,0,0.079118,
ESL-1-APR,1,APR,Electric storage large,Electricity,Controlled,Main,0,0,0,0.08125,
ESL-1-MAY,1,MAY,Electric storage large,Electricity,Controlled,Main,0,0,0,0.089145,
ESL-1-JUN,1,JUN,Electric storage large,Electricity,Controlled,Main,0,0,0,0.091102,
ESL-1-JUL,1,JUL,Electric storage large,Electricity,Controlled,Main,0,0,0,0.094403,
ESL-1-AUG,1,AUG,Electric storage large,Electricity,Controlled,Main,0,0,0,0.093397,
ESL-1-SEP,1,SEP,Electric storage large,Electricity,Controlled,Main,0,0,0,0.089872,
ESL-1-OCT,1,OCT,Electric storage large,Electricity,Controlled,Main,0,0,0,0.08813,
ESL-1-NOV,1,NOV,Electric storage large,Electricity,Controlled,Main,0,0,0,0.080884,
ESL-1-DEC,1,DEC,Electric storage large,Electricity,Controlled,Main,0,0,0,0.07568,
ESL-2-JAN,2,JAN,Electric storage large,Electricity,Controlled,Main,0,0,0,0.067171,
ESL-2-FEB,2,FEB,Electric storage large,Electricity,Controlled,Main,0,0,0,0.067434,
ESL-2-MAR,2,MAR,Electric storage large,Electricity,Controlled,Main,0,0,0,0.07958,
ESL-2-APR,2,APR,Electric storage large,Electricity,Controlled,Main,0,0,0,0.081799,
ESL-2-MAY,2,MAY,Electric storage large,Electricity,Controlled,Main,0,0,0,0.090075,
ESL-2-JUN,2,JUN,Electric storage large,Electricity,Controlled,Main,0,0,0,0.092043,
ESL-2-JUL,2,JUL,Electric storage large,Electricity,Controlled,Main,0,0,0,0.096947,
ESL-2-AUG,2,AUG,Electric storage large,Electricity,Controlled,Main,0,0,0,0.095111,
ESL-2-SEP,2,SEP,Electric storage large,Electricity,Controlled,Main,0,0,0,0.090215,
ESL-2-OCT,2,OCT,Electric storage large,Electricity,Controlled,Main,0,0,0,0.086103,
ESL-2-NOV,2,NOV,Electric storage large,Electricity,Controlled,Main,0,0,0,0.079625,
ESL-2-DEC,2,DEC,Electric storage large,Electricity,Controlled,Main,0,0,0,0.073896,
ESL-3-JAN,3,JAN,Electric storage large,Electricity,Controlled,Main,0,0,0,0.068749,
ESL-3-FEB,3,FEB,Electric storage large,Electricity,Controlled,Main,0,0,0,0.068445,
ESL-3-MAR,3,MAR,Electric storage large,Electricity,Controlled,Main,0,0,0,0.079009,
ESL-3-APR,3,APR,Electric storage large,Electricity,Controlled,Main,0,0,0,0.081363,
ESL-3-MAY,3,MAY,Electric storage large,Electricity,Controlled,Main,0,0,0,0.08964,
ESL-3-JUN,3,JUN,Electric storage large,Electricity,Controlled,Main,0,0,0,0.090877,
ESL-3-JUL,3,JUL,Electric storage large,Electricity,Controlled,Main,0,0,0,0.094569,
ESL-3-AUG,3,AUG,Electric storage large,Electricity,Controlled,Main,0,0,0,0.09337,
ESL-3-SEP,3,SEP,Electric storage large,Electricity,Controlled,Main,0,0,0,0.088844,
ESL-3-OCT,3,OCT,Electric storage large,Electricity,Controlled,Main,0,0,0,0.088481,
ESL-3-NOV,3,NOV,Electric storage large,Electricity,Controlled,Main,0,0,0,0.080877,
ESL-3-DEC,3,DEC,Electric storage large,Electricity,Controlled,Main,0,0,0,0.075776,
ESL-4-JAN,4,JAN,Electric storage large,Electricity,Controlled,Main,0,0,0,0.070196,
ESL-4-FEB,4,FEB,Electric storage large,Electricity,Controlled,Main,0,0,0,0.067396,
ESL-4-MAR,4,MAR,Electric storage large,Electricity,Controlled,Main,0,0,0,0.079996,
ESL-4-APR,4,APR,Electric storage large,Electricity,Controlled,Main,0,0,0,0.08108,
ESL-4-MAY,4,MAY,Electric storage large,Electricity,Controlled,Main,0,0,0,0.088931,
ESL-4-JUN,4,JUN,Electric storage large,Electricity,Controlled,Main,0,0,0,0.090234,
ESL-4-JUL,4,JUL,Electric storage large,Electricity,Controlled,Main,0,0,0,0.093713,
ESL-4-AUG,4,AUG,Electric storage large,Electricity,Controlled,Main,0,0,0,0.092709,
ESL-4-SEP,4,SEP,Electric storage large,Electricity,Controlled,Main,0,0,0,0.089183,
ESL-4-OCT,4,OCT,Electric storage large,Electricity,Controlled,Main,0,0,0,0.088274,
ESL-4-NOV,4,NOV,Electric storage large,Electricity,Controlled,Main,0,0,0,0.081332,
ESL-4-DEC,4,DEC,Electric storage large,Electricity,Controlled,Main,0,0,0,0.076957,
EIN-1-JAN,1,JAN,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.065728,Input in line with hot water energy by month
EIN-1-FEB,1,FEB,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.067848,
EIN-1-MAR,1,MAR,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.079812,
EIN-1-APR,1,APR,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.081781,
EIN-1-MAY,1,MAY,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.089202,
EIN-1-JUN,1,JUN,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.090868,
EIN-1-JUL,1,JUL,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.093897,
EIN-1-AUG,1,AUG,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.093897,
EIN-1-SEP,1,SEP,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.090868,
EIN-1-OCT,1,OCT,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.089202,
EIN-1-NOV,1,NOV,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.081781,
EIN-1-DEC,1,DEC,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.075117,
EIN-2-JAN,2,JAN,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.065728,Input in line with hot water energy by month
EIN-2-FEB,2,FEB,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.067848,
EIN-2-MAR,2,MAR,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.079812,
EIN-2-APR,2,APR,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.081781,
EIN-2-MAY,2,MAY,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.089202,
EIN-2-JUN,2,JUN,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.090868,
EIN-2-JUL,2,JUL,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.093897,
EIN-2-AUG,2,AUG,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.093897,
EIN-2-SEP,2,SEP,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.090868,
EIN-2-OCT,2,OCT,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.089202,
EIN-2-NOV,2,NOV,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.081781,
EIN-2-DEC,2,DEC,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.075117,
EIN-3-JAN,3,JAN,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.065728,Input in line with hot water energy by month
EIN-3-FEB,3,FEB,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.067848,
EIN-3-MAR,3,MAR,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.079812,
EIN-3-APR,3,APR,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.081781,
EIN-3-MAY,3,MAY,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.089202,
EIN-3-JUN,3,JUN,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.090868,
EIN-3-JUL,3,JUL,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.093897,
EIN-3-AUG,3,AUG,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.093897,
EIN-3-SEP,3,SEP,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.090868,
EIN-3-OCT,3,OCT,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.089202,
EIN-3-NOV,3,NOV,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.081781,
EIN-3-DEC,3,DEC,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.075117,
EIN-4-JAN,4,JAN,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.065728,Input in line with hot water energy by month
EIN-4-FEB,4,FEB,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.067848,
EIN-4-MAR,4,MAR,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.079812,
EIN-4-APR,4,APR,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.081781,
EIN-4-MAY,4,MAY,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.089202,
EIN-4-JUN,4,JUN,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.090868,
EIN-4-JUL,4,JUL,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.093897,
EIN-4-AUG,4,AUG,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.093897,
EIN-4-SEP,4,SEP,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.090868,
EIN-4-OCT,4,OCT,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.089202,
EIN-4-NOV,4,NOV,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.081781,
EIN-4-DEC,4,DEC,Electric instantaneous,Electricity,Continuous,Main,0,0,0,0.075117,
GST-1-JAN,1,JAN,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.068949,
GST-1-FEB,1,FEB,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.068458,
GST-1-MAR,1,MAR,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.078475,
GST-1-APR,1,APR,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.080914,
GST-1-MAY,1,MAY,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.089313,
GST-1-JUN,1,JUN,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.091704,
GST-1-JUL,1,JUL,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.095169,
GST-1-AUG,1,AUG,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.09362,
GST-1-SEP,1,SEP,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.089811,
GST-1-OCT,1,OCT,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.087761,
GST-1-NOV,1,NOV,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.08036,
GST-1-DEC,1,DEC,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.075465,
GST-2-JAN,2,JAN,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.067004,
GST-2-FEB,2,FEB,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.066762,
GST-2-MAR,2,MAR,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.079144,
GST-2-APR,2,APR,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.081723,
GST-2-MAY,2,MAY,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.090709,
GST-2-JUN,2,JUN,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.093133,
GST-2-JUL,2,JUL,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.09905,
GST-2-AUG,2,AUG,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.096237,
GST-2-SEP,2,SEP,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.090333,
GST-2-OCT,2,OCT,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.084673,
GST-2-NOV,2,NOV,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.078447,
GST-2-DEC,2,DEC,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.072784,
GST-3-JAN,3,JAN,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.069262,
GST-3-FEB,3,FEB,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.068256,
GST-3-MAR,3,MAR,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.07831,
GST-3-APR,3,APR,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.081091,
GST-3-MAY,3,MAY,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.090074,
GST-3-JUN,3,JUN,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.09139,
GST-3-JUL,3,JUL,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.095443,
GST-3-AUG,3,AUG,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.093621,
GST-3-SEP,3,SEP,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.088298,
GST-3-OCT,3,OCT,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.088326,
GST-3-NOV,3,NOV,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.080363,
GST-3-DEC,3,DEC,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.075566,
GST-4-JAN,4,JAN,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.071274,
GST-4-FEB,4,FEB,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.066707,
GST-4-MAR,4,MAR,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.079769,
GST-4-APR,4,APR,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.080684,
GST-4-MAY,4,MAY,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.089029,
GST-4-JUN,4,JUN,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.090453,
GST-4-JUL,4,JUL,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.094178,
GST-4-AUG,4,AUG,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.092666,
GST-4-SEP,4,SEP,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.088869,
GST-4-OCT,4,OCT,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.088046,
GST-4-NOV,4,NOV,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.081058,
GST-4-DEC,4,DEC,Gas storage - all star ratings,Gas,Continuous,Main,0,0,0,0.077267,
GIN-1-JAN,1,JAN,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.065728,Electric and gas energy breakdown in line with hot water energy by month
GIN-1-FEB,1,FEB,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.067848,
GIN-1-MAR,1,MAR,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.079812,
GIN-1-APR,1,APR,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.081781,
GIN-1-MAY,1,MAY,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.089202,
GIN-1-JUN,1,JUN,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.090868,
GIN-1-JUL,1,JUL,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.093897,
GIN-1-AUG,1,AUG,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.093897,
GIN-1-SEP,1,SEP,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.090868,
GIN-1-OCT,1,OCT,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.089202,
GIN-1-NOV,1,NOV,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.081781,
GIN-1-DEC,1,DEC,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.075117,
GIN-2-JAN,2,JAN,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.065728,Electric and gas energy breakdown in line with hot water energy by month
GIN-2-FEB,2,FEB,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.067848,
GIN-2-MAR,2,MAR,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.079812,
GIN-2-APR,2,APR,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.081781,
GIN-2-MAY,2,MAY,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.089202,
GIN-2-JUN,2,JUN,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.090868,
GIN-2-JUL,2,JUL,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.093897,
GIN-2-AUG,2,AUG,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.093897,
GIN-2-SEP,2,SEP,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.090868,
GIN-2-OCT,2,OCT,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.089202,
GIN-2-NOV,2,NOV,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.081781,
GIN-2-DEC,2,DEC,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.075117,
GIN-3-JAN,3,JAN,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.065728,Electric and gas energy breakdown in line with hot water energy by month
GIN-3-FEB,3,FEB,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.067848,
GIN-3-MAR,3,MAR,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.079812,
GIN-3-APR,3,APR,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.081781,
GIN-3-MAY,3,MAY,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.089202,
GIN-3-JUN,3,JUN,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.090868,
GIN-3-JUL,3,JUL,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.093897,
GIN-3-AUG,3,AUG,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.093897,
GIN-3-SEP,3,SEP,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.090868,
GIN-3-OCT,3,OCT,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.089202,
GIN-3-NOV,3,NOV,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.081781,
GIN-3-DEC,3,DEC,Gas instantaneous - all star ratings,Gas+Electricity,Continuous,Main,0,0,0,0.075117,
